stt,nhom,vai_tro,duong_dan_website,duong_dan_tap_tin,dinh_dang,kich_thuoc_px,dung_luong_kb,trang_thai
72,Dự án và thương hiệu khách hàng,Màn hình hoặc ảnh chi tiết dự án,/images/projects/website-auriva-land/brand/wordmark.svg,public/images/projects/website-auriva-land/brand/wordmark.svg,SVG,1000 × 256,1,DA_TICH_HOP
73,Dự án và thương hiệu khách hàng,Ảnh bìa dự án,/images/projects/website-brewvia/01-anh-bia-du-an.webp,public/images/projects/website-brewvia/01-anh-bia-du-an.webp,WEBP,1200 × 1200,18,DA_TICH_HOP
74,Dự án và thương hiệu khách hàng,Biểu tượng dự án,/images/projects/website-brewvia/brand/symbol.png,public/images/projects/website-brewvia/brand/symbol.png,PNG,256 × 256,11,DA_TICH_HOP
75,Dự án và thương hiệu khách hàng,Màn hình hoặc ảnh chi tiết dự án,/images/projects/website-brewvia/brand/symbol.svg,public/images/projects/website-brewvia/brand/symbol.svg,SVG,256 × 256,1,DA_TICH_HOP
76,Dự án và thương hiệu khách hàng,Logo chữ dự án,/images/projects/website-brewvia/brand/wordmark.png,public/images/projects/website-brewvia/brand/wordmark.png,PNG,1000 × 256,23,DA_TICH_HOP
77,Dự án và thương hiệu khách hàng,Màn hình hoặc ảnh chi tiết dự án,/images/projects/website-brewvia/brand/wordmark.svg,public/images/projects/website-brewvia/brand/wordmark.svg,SVG,1000 × 256,1,DA_TICH_HOP
78,Dự án và thương hiệu khách hàng,Ảnh bìa dự án,/images/projects/website-bytevera/01-anh-bia-du-an.webp,public/images/projects/website-bytevera/01-anh-bia-du-an.webp,WEBP,2000 × 1128,26,DA_TICH_HOP
79,Dự án và thương hiệu khách hàng,Biểu tượng dự án,/images/projects/website-bytevera/brand/symbol.png,public/images/projects/website-bytevera/brand/symbol.png,PNG,256 × 256,11,DA_TICH_HOP
80,Dự án và thương hiệu khách hàng,Màn hình hoặc ảnh chi tiết dự án,/images/projects/website-bytevera/brand/symbol.svg,public/images/projects/website-bytevera/brand/symbol.svg,SVG,256 × 256,1,DA_TICH_HOP
81,Dự án và thương hiệu khách hàng,Logo chữ dự án,/images/projects/website-bytevera/brand/wordmark.png,public/images/projects/website-bytevera/brand/wordmark.png,PNG,1000 × 256,24,DA_TICH_HOP
82,Dự án và thương hiệu khách hàng,Màn hình hoặc ảnh chi tiết dự án,/images/projects/website-bytevera/brand/wordmark.svg,public/images/projects/website-bytevera/brand/wordmark.svg,SVG,1000 × 256,1,DA_TICH_HOP
83,Dự án và thương hiệu khách hàng,Ảnh bìa dự án,/images/projects/website-candella-works/01-anh-bia-du-an.webp,public/images/projects/website-candella-works/01-anh-bia-du-an.webp,WEBP,2000 × 1127,25,DA_TICH_HOP
84,Dự án và thương hiệu khách hàng,Biểu tượng dự án,/images/projects/website-candella-works/brand/symbol.png,public/images/projects/website-candella-works/brand/symbol.png,PNG,256 × 256,8,DA_TICH_HOP
85,Dự án và thương hiệu khách hàng,Màn hình hoặc ảnh chi tiết dự án,/images/projects/website-candella-works/brand/symbol.svg,public/images/projects/website-candella-works/brand/symbol.svg,SVG,256 × 256,1,DA_TICH_HOP
86,Dự án và thương hiệu khách hàng,Logo chữ dự án,/images/projects/website-candella-works/brand/wordmark.png,public/images/projects/website-candella-works/brand/wordmark.png,PNG,1000 × 256,24,DA_TICH_HOP
87,Dự án và thương hiệu khách hàng,Màn hình hoặc ảnh chi tiết dự án,/images/projects/website-candella-works/brand/wordmark.svg,public/images/projects/website-candella-works/brand/wordmark.svg,SVG,1000 × 256,1,DA_TICH_HOP
88,Dự án và thương hiệu khách hàng,Ảnh bìa dự án,/images/projects/website-ceranova/01-anh-bia-du-an.webp,public/images/projects/website-ceranova/01-anh-bia-du-an.webp,WEBP,1901 × 844,17,DA_TICH_HOP
89,Dự án và thương hiệu khách hàng,Màn hình hoặc ảnh chi tiết dự án,/images/projects/website-ceranova/02-man-hinh-website.webp,public/images/projects/website-ceranova/02-man-hinh-website.webp,WEBP,1899 × 842,17,DA_TICH_HOP
90,Dự án và thương hiệu khách hàng,Màn hình hoặc ảnh chi tiết dự án,/images/projects/website-ceranova/03-man-hinh-website.webp,public/images/projects/website-ceranova/03-man-hinh-website.webp,WEBP,1894 × 844,18,DA_TICH_HOP
91,Dự án và thương hiệu khách hàng,Màn hình hoặc ảnh chi tiết dự án,/images/projects/website-ceranova/04-man-hinh-website.webp,public/images/projects/website-ceranova/04-man-hinh-website.webp,WEBP,1700 × 846,17,DA_TICH_HOP
92,Dự án và thương hiệu khách hàng,Biểu tượng dự án,/images/projects/website-ceranova/brand/symbol.png,public/images/projects/website-ceranova/brand/symbol.png,PNG,256 × 256,11,DA_TICH_HOP
93,Dự án và thương hiệu khách hàng,Màn hình hoặc ảnh chi tiết dự án,/images/projects/website-ceranova/brand/symbol.svg,public/images/projects/website-ceranova/brand/symbol.svg,SVG,256 × 256,1,DA_TICH_HOP
94,Dự án và thương hiệu khách hàng,Logo chữ dự án,/images/projects/website-ceranova/brand/wordmark.png,public/images/projects/website-ceranova/brand/wordmark.png,PNG,1000 × 256,25,DA_TICH_HOP
95,Dự án và thương hiệu khách hàng,Màn hình hoặc ảnh chi tiết dự án,/images/projects/website-ceranova/brand/wordmark.svg,public/images/projects/website-ceranova/brand/wordmark.svg,SVG,1000 × 256,1,DA_TICH_HOP
96,Dự án và thương hiệu khách hàng,Ảnh bìa dự án,/images/projects/website-chromiva-coatings/01-anh-bia-du-an.webp,public/images/projects/website-chromiva-coatings/01-anh-bia-du-an.webp,WEBP,2000 × 1126,29,DA_TICH_HOP
97,Dự án và thương hiệu khách hàng,Màn hình hoặc ảnh chi tiết dự án,/images/projects/website-chromiva-coatings/02-man-hinh-website.webp,public/images/projects/website-chromiva-coatings/02-man-hinh-website.webp,WEBP,1888 × 1080,27,DA_TICH_HOP
98,Dự án và thương hiệu khách hàng,Màn hình hoặc ảnh chi tiết dự án,/images/projects/website-chromiva-coatings/03-man-hinh-website.webp,public/images/projects/website-chromiva-coatings/03-man-hinh-website.webp,WEBP,1920 × 1080,26,DA_TICH_HOP
99,Dự án và thương hiệu khách hàng,Màn hình hoặc ảnh chi tiết dự án,/images/projects/website-chromiva-coatings/04-man-hinh-website.webp,public/images/projects/website-chromiva-coatings/04-man-hinh-website.webp,WEBP,1891 × 1080,26,DA_TICH_HOP
100,Dự án và thương hiệu khách hàng,Màn hình hoặc ảnh chi tiết dự án,/images/projects/website-chromiva-coatings/05-man-hinh-website.webp,public/images/projects/website-chromiva-coatings/05-man-hinh-website.webp,WEBP,1920 × 1080,27,DA_TICH_HOP
101,Dự án và thương hiệu khách hàng,Màn hình hoặc ảnh chi tiết dự án,/images/projects/website-chromiva-coatings/06-man-hinh-website.webp,public/images/projects/website-chromiva-coatings/06-man-hinh-website.webp,WEBP,1892 × 1080,26,DA_TICH_HOP
102,Dự án và thương hiệu khách hàng,Màn hình hoặc ảnh chi tiết dự án,/images/projects/website-chromiva-coatings/07-man-hinh-website.webp,public/images/projects/website-chromiva-coatings/07-man-hinh-website.webp,WEBP,1880 × 1080,26,DA_TICH_HOP
103,Dự án và thương hiệu khách hàng,Biểu tượng dự án,/images/projects/website-chromiva-coatings/brand/symbol.png,public/images/projects/website-chromiva-coatings/brand/symbol.png,PNG,256 × 256,11,DA_TICH_HOP
104,Dự án và thương hiệu khách hàng,Màn hình hoặc ảnh chi tiết dự án,/images/projects/website-chromiva-coatings/brand/symbol.svg,public/images/projects/website-chromiva-coatings/brand/symbol.svg,SVG,256 × 256,1,DA_TICH_HOP
105,Dự án và thương hiệu khách hàng,Logo chữ dự án,/images/projects/website-chromiva-coatings/brand/wordmark.png,public/images/projects/website-chromiva-coatings/brand/wordmark.png,PNG,1000 × 256,28,DA_TICH_HOP
106,Dự án và thương hiệu khách hàng,Màn hình hoặc ảnh chi tiết dự án,/images/projects/website-chromiva-coatings/brand/wordmark.svg,public/images/projects/website-chromiva-coatings/brand/wordmark.svg,SVG,1000 × 256,1,DA_TICH_HOP
107,Dự án và thương hiệu khách hàng,Ảnh bìa dự án,/images/projects/website-dentavera/01-anh-bia-du-an.webp,public/images/projects/website-dentavera/01-anh-bia-du-an.webp,WEBP,1109 × 679,13,DA_TICH_HOP
108,Dự án và thương hiệu khách hàng,Màn hình hoặc ảnh chi tiết dự án,/images/projects/website-dentavera/02-man-hinh-website.webp,public/images/projects/website-dentavera/02-man-hinh-website.webp,WEBP,1900 × 1079,25,DA_TICH_HOP
109,Dự án và thương hiệu khách hàng,Màn hình hoặc ảnh chi tiết dự án,/images/projects/website-dentavera/03-man-hinh-website.webp,public/images/projects/website-dentavera/03-man-hinh-website.webp,WEBP,1897 × 1079,24,DA_TICH_HOP
110,Dự án và thương hiệu khách hàng,Màn hình hoặc ảnh chi tiết dự án,/images/projects/website-dentavera/04-man-hinh-website.webp,public/images/projects/website-dentavera/04-man-hinh-website.webp,WEBP,1893 × 1080,25,DA_TICH_HOP
111,Dự án và thương hiệu khách hàng,Màn hình hoặc ảnh chi tiết dự án,/images/projects/website-dentavera/05-man-hinh-website.webp,public/images/projects/website-dentavera/05-man-hinh-website.webp,WEBP,1888 × 1080,24,DA_TICH_HOP
112,Dự án và thương hiệu khách hàng,Màn hình hoặc ảnh chi tiết dự án,/images/projects/website-dentavera/06-man-hinh-website.webp,public/images/projects/website-dentavera/06-man-hinh-website.webp,WEBP,1888 × 1080,25,DA_TICH_HOP
113,Dự án và thương hiệu khách hàng,Màn hình hoặc ảnh chi tiết dự án,/images/projects/website-dentavera/07-man-hinh-website.webp,public/images/projects/website-dentavera/07-man-hinh-website.webp,WEBP,1884 × 1079,25,DA_TICH_HOP
114,Dự án và thương hiệu khách hàng,Biểu tượng dự án,/images/projects/website-dentavera/brand/symbol.png,public/images/projects/website-dentavera/brand/symbol.png,PNG,256 × 256,10,DA_TICH_HOP
115,Dự án và thương hiệu khách hàng,Màn hình hoặc ảnh chi tiết dự án,/images/projects/website-dentavera/brand/symbol.svg,public/images/projects/website-dentavera/brand/symbol.svg,SVG,256 × 256,1,DA_TICH_HOP
116,Dự án và thương hiệu khách hàng,Logo chữ dự án,/images/projects/website-dentavera/brand/wordmark.png,public/images/projects/website-dentavera/brand/wordmark.png,PNG,1000 × 256,22,DA_TICH_HOP
117,Dự án và thương hiệu khách hàng,Màn hình hoặc ảnh chi tiết dự án,/images/projects/website-dentavera/brand/wordmark.svg,public/images/projects/website-dentavera/brand/wordmark.svg,SVG,1000 × 256,1,DA_TICH_HOP
118,Dự án và thương hiệu khách hàng,Ảnh bìa dự án,/images/projects/website-edunora/01-anh-bia-du-an.webp,public/images/projects/website-edunora/01-anh-bia-du-an.webp,WEBP,1898 × 845,20,DA_TICH_HOP
